Date,c1,c2,A,B,switch,c1_ret,c2_ret,rollex_ret,rollex_px
2023-09-29,146.15,147.2,1,0,0,-0.007133152173912971,-0.007751937984496138,-0.007133152173912971,120.83951487726932
2023-10-02,149.1,150.1,1,0,0,0.02018474170372886,0.01970108695652173,0.02018474170372886,123.27862927267091
2023-10-03,148.75,149.7,1,0,0,-0.0023474178403755097,-0.0026648900732845204,-0.0023474178403755097,122.9892428189792
2023-10-04,146.35,147.35,1,0,0,-0.01613445378151268,-0.015698062792251166,-0.01613445378151268,121.00487856509314
2023-10-05,145.4,146.4,1,0,0,-0.006491288008199425,-0.006447234475737917,-0.006491288008199425,120.21940104792992
2023-10-06,146.05,147.2,1,0,0,0.004470426409903805,0.005464480874316724,0.004470426409903805,120.75683303335741
2023-10-09,146.05,147.25,1,0,0,0.0,0.00033967391304345895,0.0,120.75683303335741
2023-10-10,147.5,148.45,1,0,0,0.00992810681273526,0.008149405772495788,0.00992810681273526,121.95571977008022
2023-10-11,147.7,148.65,1,0,0,0.0013559322033898091,0.00134725496800292,0.0013559322033898091,122.12108345790405
2023-10-12,149.3,150.0,1,0,0,0.010832769126608133,0.00908173562058523,0.010832769126608133,123.44399296049478
2023-10-13,154.9,155.15,1,0,0,0.037508372404554624,0.03433333333333333,0.037508372404554624,128.07417621956225
2023-10-16,154.15,154.7,1,0,0,-0.004841833440929588,-0.00290041894940396,-0.004841833440929588,127.45406239022286
2023-10-17,157.05,156.7,1,0,0,0.018812844631852066,0.012928248222365823,0.018812844631852066,129.8518358636685
2023-10-18,158.05,157.65,1,0,0,0.006367398917542122,0.006062539885130835,0.006367398917542122,130.6786543027877
2023-10-19,163.95,161.8,1,0,0,0.03732995887377388,0.026324135743736266,0.03732995887377388,135.55688309359084
2023-10-20,165.25,164.4,1,0,0,0.007929246721561478,0.01606922126081578,0.007929246721561478,136.63174706444582
2023-10-23,165.85,164.95,1,0,0,0.0036308623298033638,0.0033454987834549144,0.0036308623298033638,137.12783812791733
2023-10-24,168.15,167.1,1,0,0,0.0138679529695509,0.013034252803880042,0.0138679529695509,139.0295205378915
2023-10-25,162.3,162.05,1,0,0,-0.0347903657448706,-0.03022142429682817,-0.0347903657448706,134.19263266904423
2023-10-26,161.2,160.9,1,0,0,-0.0067775723967962165,-0.007096575131132377,-0.0067775723967962165,133.2831323860131
2023-10-27,160.95,160.5,1,0,0,-0.0015508684863523303,-0.0024860161591050423,-0.0015508684863523303,133.07642777623334
2023-10-30,159.1,158.3,1,0,0,-0.011494252873563204,-0.013707165109034247,-0.011494252873563204,131.54681366386282
2023-10-31,167.3,164.9,1,0,0,0.05153991200502839,0.04169298799747301,0.05153991200502839,138.32672486464017
